City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,palmer,42.1584,-72.3287,18.75,59,75,0.0,US,1715130896
81,shingu,33.7333,135.9833,21.89,50,0,0.75,JP,1715130896
82,hammerfest,70.6634,23.6821,-2.75,68,4,3.09,NO,1715130896
83,longyearbyen,78.2186,15.6401,1.91,69,75,5.14,SJ,1715130897
84,albany,42.6001,-73.9662,16.99,45,100,2.37,US,1715130856
85,badger,64.8,-147.5333,11.14,47,75,1.54,US,1715130897
86,saipan,15.1355,145.701,32.39,58,75,4.12,MP,1715130897
87,hermanus,-34.4187,19.2345,13.22,87,0,2.17,ZA,1715130897
88,inhambane,-23.865,35.3833,21.81,74,2,1.76,MZ,1715130898
89,palikir - national government center,6.9248,158.1611,27.47,89,100,5.14,FM,1715130898
90,soio,-6.1349,12.3689,25.92,90,99,3.76,AO,1715130898
91,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,78,75,3.58,RU,1715130898
92,hamilton,39.1834,-84.5333,23.97,89,75,5.14,US,1715130623
93,joao neiva,-19.7575,-40.3856,20.98,95,0,0.82,BR,1715130899
94,labrador city,52.9463,-66.9114,1.77,69,75,4.63,CA,1715130899
95,saint-pierre,-21.3393,55.4781,23.82,57,0,9.26,RE,1715130899
96,olonkinbyen,70.9221,-8.7187,0.22,94,100,8.0,SJ,1715130899
97,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.15,PT,1715130899
98,noosa heads,-26.3833,153.15,22.28,69,25,8.9,AU,1715130900
99,arrifes,37.7667,-25.7,17.18,94,75,2.57,PT,1715130900
100,petrove,48.3247,33.2562,6.92,85,100,7.31,UA,1715130900
101,korsakov,46.6328,142.7813,1.91,80,98,6.12,RU,1715130900
102,masterton,-40.9597,175.6575,12.71,44,4,1.72,NZ,1715130620
103,christchurch,-43.5333,172.6333,16.34,63,11,1.54,NZ,1715130339
104,lubango,-14.9172,13.4925,15.49,54,0,1.28,AO,1715130901
105,dahlonega,34.5326,-83.9849,24.06,86,100,1.07,US,1715130901
